SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT6
2,2,1,24,2,2,-1,-1,-2,-2,3102,689,0,0,0,689,0,0,0
2,2,2,26,-1,2,0,0,0,2,1725,2682,3272,3455,0,1000,1000,1000,2000
2,2,2,34,0,0,0,0,0,0,14027,13559,14331,14948,1518,1500,1000,1000,5000
2,2,1,37,0,0,0,0,0,0,48233,49291,28314,28959,2000,2019,1200,1100,1000
1,2,1,57,-1,0,-1,0,0,0,5670,35835,20940,19146,2000,36681,10000,9000,679
1,1,2,37,0,0,0,0,0,0,57069,57608,19394,19619,2500,1815,657,1000,800
1,1,2,29,0,0,0,0,0,0,412023,445007,542653,483003,55000,40000,38000,20239,13770
2,2,2,23,0,-1,-1,0,0,-1,380,601,221,-159,380,601,0,581,1542
2,3,1,28,0,0,2,0,0,0,14096,12108,12211,11793,3329,0,432,1000,1000
1,3,2,35,-2,-2,-2,-2,-1,-1,0,0,0,13007,0,0,0,13007,0
2,3,2,34,0,0,2,0,0,-1,9787,5535,2513,1828,2306,12,50,300,66
2,1,2,51,-1,-1,-1,-1,-1,2,21670,9966,8517,22287,21818,9966,8583,22301,3640
2,2,2,41,-1,0,-1,-1,-1,-1,6500,6500,6500,6500,1000,6500,6500,6500,0
1,2,2,30,1,2,2,0,0,2,67369,65701,66782,36137,3200,0,3000,3000,0
1,1,2,29,0,0,0,0,0,0,67060,63561,59696,56875,3000,3000,3000,3000,3000
2,3,3,23,1,2,0,0,0,0,29173,28116,28771,29531,0,1500,1100,1200,1100
1,1,2,24,0,0,2,2,2,2,18010,17428,18338,17905,3200,0,1500,0,0
1,1,1,49,0,0,0,-1,-1,-1,246536,194663,70074,5856,10358,10000,75940,20000,50000
2,1,1,49,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0
2,1,2,29,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0
2,3,2,39,0,0,0,0,0,-1,27688,24489,20616,11802,3000,1537,1000,2000,33764
2,2,1,39,-1,-1,-1,-1,-1,-1,316,316,0,632,316,316,0,632,0
2,2,2,26,2,0,0,2,2,2,42445,45020,44006,46905,2007,3582,0,3601,1820
2,1,1,40,-2,-2,-2,-2,-2,-2,19420,1473,560,0,19428,1473,560,0,1128
1,1,2,23,0,0,0,-1,0,0,7070,0,5398,6360,5757,0,5398,1200,2000
1,3,2,23,0,0,0,0,0,0,41810,36023,28967,29829,1973,1426,1001,1432,997
1,1,2,27,1,-2,-1,-1,-1,-1,-425,259,-57,127,0,1000,0,500,1000
2,3,2,30,0,0,0,0,0,0,16138,17163,17878,18931,1300,1300,1000,1500,1012
2,3,1,47,-1,-1,-1,-1,-1,-1,3415,3416,2040,30430,3415,3421,2044,30430,0
1,1,2,26,0,0,0,0,0,0,16575,17496,17907,18375,1500,1500,1000,1000,0
2,1,2,27,-1,-1,-1,-1,-1,-1,17265,13266,15339,14307,17270,13281,15339,14307,0
1,2,2,33,2,0,0,0,0,0,29618,22102,22734,23217,1718,1500,1000,1000,716
1,1,2,32,0,0,0,0,0,0,84071,82880,80958,78703,3023,3511,3302,3204,2504
2,2,1,54,-2,-2,-2,-2,-2,-2,4152,22722,7521,71439,4152,22827,7521,71439,51582
1,1,1,58,-2,-2,-2,-2,-2,-2,5006,31130,3180,0,5006,31178,3180,0,768
1,1,2,30,-1,-1,-2,-2,-2,-1,-131,-527,-923,-1488,131,396,396,565,0
1,2,1,40,0,0,0,0,0,0,181328,180422,170410,173901,8026,8060,6300,6400,6737
2,2,2,22,0,0,0,0,0,-1,9806,11068,6026,-28335,1500,1518,2043,0,617
1,1,2,25,1,-1,-1,-2,-2,-2,780,0,0,0,780,0,0,0,0
1,1,2,31,-1,-1,2,-1,0,-1,9075,4641,9976,17976,9075,0,9976,8000,781
1,1,2,33,0,0,0,0,0,0,221296,206895,628699,195969,10000,7000,6000,188840,4000
2,1,2,25,0,0,0,0,0,0,66999,63949,63699,64718,3000,4500,4042,2500,2500
1,2,2,22,0,0,0,0,0,0,3184,6003,3576,3670,1500,2927,1000,300,500
2,2,1,37,0,0,0,0,0,0,61544,62925,64280,67079,3000,3000,3000,4000,3000
2,1,2,30,0,0,0,2,0,0,21295,25921,25209,26636,3000,5000,0,2000,0
1,1,2,29,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0
2,1,2,22,0,0,2,-1,0,0,16484,15800,16341,16675,3000,0,16741,334,0
2,5,2,46,0,0,-1,0,0,-2,3034,1170,1170,0,1013,1170,0,0,0
1,2,2,32,-1,-1,-1,-1,-1,-1,21540,15134,32018,11849,21540,15138,24677,11851,8251
1,1,2,24,0,0,0,0,0,0,18479,19476,19865,20480,1318,1315,704,928,1069
1,3,2,42,1,2,2,2,2,0,36171,38355,39423,38659,0,3100,2000,0,1500
2,3,3,43,0,0,0,0,0,0,51163,43824,39619,35762,2000,1606,1500,2000,1000
2,2,1,49,-2,-2,-2,-2,-2,-2,7867,7600,11185,3544,7875,7600,11185,3544,0
2,1,2,25,1,2,0,0,0,0,41742,42758,43510,44420,1300,2010,1762,1762,1622
2,1,2,29,2,0,0,0,0,0,34993,31434,26518,21042,1600,1718,1049,1500,5000
2,1,1,45,-2,-2,-2,-2,-2,-2,3640,162,0,151,3640,162,0,151,0
2,3,1,34,0,0,0,-1,-1,-1,15793,8441,7142,-679,8500,1500,7500,679,2000
2,2,1,34,0,0,0,0,0,0,173440,172308,168608,132202,8083,7296,5253,4814,3800
2,1,2,34,-1,3,2,2,2,2,1098,782,1166,700,0,0,700,0,0
2,2,1,29,0,0,0,0,0,0,398857,404205,360199,356656,17000,15029,30000,12000,23000
2,3,1,28,0,0,0,0,0,0,23638,18878,14937,13827,1516,1300,1000,1000,2000
