LIMIT_BAL,BILL_AMT1,BILL_AMT6,PAY_AMT5
20000,3913,0,0
120000,2682,3261,0
90000,29239,15549,1000
50000,46990,29547,1069
50000,8617,19131,689
50000,64400,20024,1000
500000,367965,473944,13750
100000,11876,567,1687
140000,11285,3719,1000
20000,0,13912,1122
200000,11073,3731,3738
260000,12261,13668,0
630000,12137,2870,2870
70000,65802,36894,1500
250000,70887,55512,3000
50000,50614,30211,1300
20000,15376,19104,1650
320000,253286,195599,195599
360000,0,0,0
180000,0,0,0
130000,38358,930,930
120000,316,316,316
70000,41087,46012,0
450000,5512,0,0
90000,4744,8292,2045
50000,47620,30046,1062
60000,-109,-189,0
50000,22541,19617,1000
50000,650,257,257
50000,15329,11400,1600
230000,16646,36923,37292
50000,30518,23680,1000
100000,93036,75589,3200
500000,10929,8981,981
500000,13709,5293,5293
160000,30265,-1884,792
280000,186503,177413,6400
60000,15054,18660,47671
50000,0,0,0
280000,498,9477,9525
360000,218668,179224,28000
70000,67521,65970,2800
10000,1877,4451,1000
140000,59504,69802,4000
40000,18927,29197,3000
210000,0,0,0
20000,14028,0,0
150000,4463,0,0
380000,22401,11873,11875
20000,17447,20063,912
70000,37042,39362,1500
100000,61559,33258,1500
310000,13465,464,464
180000,41402,45319,1790
150000,46224,16540,2000
500000,1905,2530,2530
180000,16386,8321,9000
180000,175886,129918,4816
200000,1587,1414,1200
400000,400134,364089,12000
500000,22848,15571,2000
70000,70800,830,3000
50000,24987,28264,1200
50000,28718,0,0
130000,99,0,0
200000,152519,7918,0
10000,2097,4326,200
210000,300,4250,4250
130000,-190,7319,7319
20000,18565,5982,1000
80000,780,390,390
320000,58267,63526,2400
200000,9076,3151,3165
290000,0,0,0
340000,3048,25820,25949
20000,14619,18543,1500
50000,42838,10030,1000
300000,291,291,291
30000,28387,6411,1765
240000,0,0,0
470000,165254,29889,1000
360000,23411,196,196
60000,26324,19771,1140
400000,131595,94058,3200
50000,48909,19482,849
160000,130028,120418,4800
360000,390,390,390
160000,3826,766,766
130000,81313,1190,1190
20000,8583,11970,0
200000,138180,149531,5000
280000,7524,0,0
100000,-2000,0,0
160000,880,0,0
60000,45648,19323,816
90000,83725,30835,1104
360000,3967,9956,0
150000,86009,40788,1698
50000,18722,7899,321
20000,17973,150,150
140000,672,1430,1430
380000,-81,34056,1250
480000,422069,469961,18000
50000,44698,24094,995
60000,56685,55305,3000
70000,5580,26529,26529
80000,6108,1150,1150
350000,713,5263,5263
130000,171438,126568,133841
360000,-103,-103,0
330000,105879,107289,15794
50000,13244,17393,1000
280000,135673,149415,0
100000,52128,59713,3000
50000,19015,19957,724
30000,18199,21201,1000
240000,326,326,326
